name,rating,link,tag,rating_people
超人动画版 第三季,9.2,https://movie.douban.com/subject/26593324/?from=subject-page,"DC,动画,超人,美国,科幻,动作,推理,惊悚",78
神探加杰特 第二季,8.6,https://movie.douban.com/subject/19971756/?from=subject-page,"动画,美国,童年,童年回忆,美国动画,动画片,经典,1985",479
星际旅行：深空九号 第二季,9.1,https://movie.douban.com/subject/19961357/?from=subject-page,"科幻,美剧,StarTrek,美国,星际旅行,电视剧,星际迷航,1990s",132
巴比伦5号 第四季,,https://movie.douban.com/subject/10590739/?from=subject-page,"科幻,美剧,剧情,美国,星际,巴比伦5号,科幻_电视剧,电视剧",
星际旅行-原初-第2季第14集,,https://movie.douban.com/subject/6530957/?from=subject-page,"科幻,StarTrek,TOS,美国,1960s,美剧,电视剧,悬疑",
星际旅行：下一代 第七季,9.2,https://movie.douban.com/subject/19944315/?from=subject-page,"科幻,美剧,StarTrek,星际迷航,星际旅行,电视剧,美国,1990s",201
星际旅行：原初 第三季,9.3,https://movie.douban.com/subject/6360305/?from=subject-page,"科幻,startrek,美剧,星际迷航,美国,经典,电视剧,1960s",579
方舟2号,8.1,https://movie.douban.com/subject/1937692/?from=subject-page,"科幻,童年回忆,美剧,美国,童年,经典,电视剧,剧集",406
小不列颠  第一季,8.7,https://movie.douban.com/subject/1440348/?from=subject-page,"英剧,BBC,喜剧,英国,恶搞,搞笑,电视剧,看过的电视剧",14364
屋事生非 第一季,8.7,https://movie.douban.com/subject/1784076/?from=subject-page,"英剧,喜剧,英国,黑色幽默,电视剧,1999,UK,西蒙·佩吉",4522
摩登情爱 第二季,,https://movie.douban.com/subject/34869760/?from=subject-page,"美剧,爱情,2020,美国,追ing,Amazon,剧情,喜剧",
相对无言 第一季,8.9,https://movie.douban.com/subject/26739358/?from=subject-page,"英剧,自闭症,BBC,英国,家庭,成长,心理,2016",2699
实习医生格蕾 第十七季,,https://movie.douban.com/subject/33442357/?from=subject-page,"美剧,医疗剧,ABC,美国,爱情,Grey'sAnatomy,2020,美国电视剧",
请讲普通话 第一季,9.3,https://movie.douban.com/subject/3890974/?from=subject-page,"uk,英剧,喜剧,英国,BBC,搞笑,1977,电视剧",6901
法律与秩序 第二十季,,https://movie.douban.com/subject/24721776/?from=subject-page,"美剧,美国,犯罪,罪案调查,看过的电视剧,律政,Order,Law",
神盾局特工 第一季,8.1,https://movie.douban.com/subject/19938222/?from=subject-page,"美剧,科幻,Marvel,美国,漫画改编,MARVEL,电视剧,2013",64393
